"age","pclass_1","pclass_2","female","embarked_S","embarked_C","embarked_Q","cabin_B","cabin_C","cabin_E","cabin_D","cabin_A","cabin_F","cabin_G","fare_log10","sibsp_log10","parch_log10","firstclass_female","secondclass_female","survived"
29,1,0,1,1,0,0,1,0,0,0,0,0,0,2.3270266997942755,0,0,1,0,"1"
0.92,1,0,0,1,0,0,0,1,0,0,0,0,0,2.1834122119784256,0.30102999566398114,0.30102999566398114,0,0,"1"
2,1,0,1,1,0,0,0,1,0,0,0,0,0,2.1834122119784256,0.30102999566398114,0.30102999566398114,1,0,"0"
30,1,0,0,1,0,0,0,1,0,0,0,0,0,2.1834122119784256,0.30102999566398114,0.30102999566398114,0,0,"0"
25,1,0,1,1,0,0,0,1,0,0,0,0,0,2.1834122119784256,0.30102999566398114,0.30102999566398114,1,0,"0"
48,1,0,0,1,0,0,0,0,1,0,0,0,0,1.4401216031878037,0,0,0,0,"1"
63,1,0,1,1,0,0,0,0,0,1,0,0,0,1.8973977892491292,0.30102999566398114,0,1,0,"1"
39,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"0"
53,1,0,1,1,0,0,0,1,0,0,0,0,0,1.7199872059744314,0.47712125471966244,0,1,0,"1"
71,1,0,0,0,1,0,0,0,0,0,0,0,0,1.7033274961578129,0,0,0,0,"0"
47,1,0,0,0,1,0,0,1,0,0,0,0,0,2.3589337176143736,0.30102999566398114,0,0,0,"0"
18,1,0,1,0,1,0,0,1,0,0,0,0,0,2.3589337176143736,0.30102999566398114,0,1,0,"1"
24,1,0,1,0,1,0,1,0,0,0,0,0,0,1.8469553250198238,0,0,1,0,"1"
26,1,0,1,1,0,0,0,0,0,0,0,0,0,1.9022749204745015,0,0,1,0,"1"
80,1,0,0,1,0,0,0,0,0,0,1,0,0,1.4913616938342726,0,0,0,0,"1"
29.881137667304014,1,0,0,1,0,0,0,0,0,0,0,0,0,1.430155711970019,0,0,0,0,"0"
24,1,0,0,0,1,0,1,0,0,0,0,0,0,2.3953627429574396,0,0,0,0,"0"
50,1,0,1,0,1,0,1,0,0,0,0,0,0,2.3953627429574396,0,0,1,0,"1"
32,1,0,1,0,1,0,0,0,0,1,0,0,0,1.8881328595362297,0,0,1,0,"1"
36,1,0,0,0,1,0,0,1,0,0,0,0,0,1.8821925714233974,0,0,0,0,"0"
37,1,0,0,1,0,0,0,0,0,1,0,0,0,1.7287935361444733,0.30102999566398114,0.30102999566398114,0,0,"1"
47,1,0,1,1,0,0,0,0,0,1,0,0,0,1.7287935361444733,0.30102999566398114,0.30102999566398114,1,0,"1"
26,1,0,0,0,1,0,0,1,0,0,0,0,0,1.4913616938342726,0,0,0,0,"1"
42,1,0,1,0,1,0,0,0,0,0,0,0,0,2.3589337176143736,0,0,1,0,"1"
29,1,0,1,1,0,0,0,1,0,0,0,0,0,2.347874640061327,0,0,1,0,"1"
25,1,0,0,0,1,0,0,0,0,0,0,0,0,1.4313637641589871,0,0,0,0,"0"
25,1,0,0,0,1,0,1,0,0,0,0,0,0,1.9641615374126256,0.30102999566398114,0,0,0,"1"
19,1,0,1,0,1,0,1,0,0,0,0,0,0,1.9641615374126256,0.30102999566398114,0,1,0,"1"
35,1,0,1,1,0,0,0,1,0,0,0,0,0,2.135556557645501,0,0,1,0,"1"
28,1,0,0,1,0,0,0,1,0,0,0,0,0,1.4401216031878037,0,0,0,0,"1"
45,1,0,0,1,0,0,0,0,0,0,0,0,0,1.5622928644564746,0,0,0,0,"0"
40,1,0,0,0,1,0,0,0,0,0,1,0,0,1.5051499783199058,0,0,0,0,"1"
30,1,0,1,1,0,0,0,1,0,0,0,0,0,2.219759204240921,0,0,1,0,"1"
58,1,0,1,1,0,0,0,1,0,0,0,0,0,1.4401216031878037,0,0,1,0,"1"
42,1,0,0,1,0,0,0,0,0,1,0,0,0,1.4401216031878037,0,0,0,0,"0"
45,1,0,1,0,1,0,0,0,0,0,0,0,0,2.4205745486161567,0,0,1,0,"1"
22,1,0,1,1,0,0,0,0,1,0,0,0,0,1.7481880270062005,0,0,1,0,"1"
29.881137667304014,1,0,0,1,0,0,0,0,0,0,0,0,0,1.4401216031878037,0,0,0,0,"1"
41,1,0,0,1,0,0,0,0,0,0,1,0,0,1.4983105537896002,0,0,0,0,"0"
48,1,0,0,0,1,0,1,0,0,0,0,0,0,1.7117718094061183,0,0,0,0,"0"
29.881137667304014,1,0,0,0,1,0,0,0,0,0,0,0,0,1.608526033577194,0,0,0,0,"0"
44,1,0,1,0,1,0,1,0,0,0,0,0,0,1.458196532741108,0,0,1,0,"1"
59,1,0,1,1,0,0,0,1,0,0,0,0,0,1.7199872059744314,0.47712125471966244,0,1,0,"1"
60,1,0,1,0,1,0,0,0,0,1,0,0,0,1.8881328595362297,0,0,1,0,"1"
41,1,0,1,0,1,0,0,0,1,0,0,0,0,2.131939295210424,0,0,1,0,"1"
45,1,0,0,1,0,0,1,0,0,0,0,0,0,1.4401216031878037,0,0,0,0,"0"
29.881137667304014,1,0,0,1,0,0,0,0,0,0,0,0,0,1.5051499783199058,0,0,0,0,"0"
42,1,0,0,1,0,0,0,0,1,0,0,0,0,1.4359637487171955,0,0,0,0,"1"
53,1,0,1,0,1,0,0,0,0,0,0,0,0,1.4540181522257762,0,0,1,0,"1"
36,1,0,0,0,1,0,1,0,0,0,0,0,0,2.7103959691861146,0,0,0,0,"1"
58,1,0,1,0,1,0,1,0,0,0,0,0,0,2.7103959691861146,0,0,1,0,"1"
33,1,0,0,1,0,0,1,0,0,0,0,0,0,0.7781512503836435,0,0,0,0,"0"
28,1,0,0,1,0,0,0,0,0,0,0,0,0,1.6821450763738317,0,0,0,0,"0"
17,1,0,0,1,0,0,0,0,0,0,0,0,0,1.6821450763738317,0,0,0,0,"0"
11,1,0,0,1,0,0,1,0,0,0,0,0,0,2.08278537031645,0.30102999566398114,0.30102999566398114,0,0,"1"
14,1,0,1,1,0,0,1,0,0,0,0,0,0,2.08278537031645,0.30102999566398114,0.30102999566398114,1,0,"1"
36,1,0,0,1,0,0,1,0,0,0,0,0,0,2.08278537031645,0.30102999566398114,0.30102999566398114,0,0,"1"
36,1,0,1,1,0,0,1,0,0,0,0,0,0,2.08278537031645,0.30102999566398114,0.30102999566398114,1,0,"1"
49,1,0,0,1,0,0,0,0,0,0,0,0,0,1.4313637641589871,0,0,0,0,"0"
29.881137667304014,1,0,1,0,1,0,0,0,0,0,0,0,0,1.458196532741108,0,0,1,0,"1"
36,1,0,0,1,0,0,0,1,0,0,0,0,0,1.9022749204745015,0.30102999566398114,0,0,0,"0"
76,1,0,1,1,0,0,0,1,0,0,0,0,0,1.9022749204745015,0.30102999566398114,0,1,0,"1"
46,1,0,0,1,0,0,0,0,1,0,0,0,0,1.7936157939419735,0.30102999566398114,0,0,0,"0"
47,1,0,1,1,0,0,0,0,1,0,0,0,0,1.7936157939419735,0.30102999566398114,0,1,0,"1"
27,1,0,0,1,0,0,0,0,1,0,0,0,0,1.7331972651065692,0.30102999566398114,0,0,0,"1"
33,1,0,1,1,0,0,0,0,1,0,0,0,0,1.7331972651065692,0.30102999566398114,0,1,0,"1"
36,1,0,1,0,1,0,1,0,0,0,0,0,0,2.4205745486161567,0,0,1,0,"1"
30,1,0,1,1,0,0,1,0,0,0,0,0,0,1.9420080530223132,0,0,1,0,"1"
45,1,0,0,0,1,0,0,0,0,0,1,0,0,1.4871383754771863,0,0,0,0,"1"
29.881137667304014,1,0,1,1,0,0,0,0,1,0,0,0,0,1.7481880270062005,0,0,1,0,"1"
29.881137667304014,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
27,1,0,0,0,1,0,0,1,0,0,0,0,0,2.139183658739585,0.30102999566398114,0,0,0,"0"
26,1,0,1,0,1,0,0,1,0,0,0,0,0,2.139183658739585,0.30102999566398114,0,1,0,"1"
22,1,0,1,1,0,0,0,0,0,0,0,0,0,2.1834122119784256,0,0,1,0,"1"
29.881137667304014,1,0,0,1,0,0,0,0,0,0,1,0,0,1.724275869600789,0,0,0,0,"0"
47,1,0,0,1,0,0,0,0,1,0,0,0,0,1.4246775029107852,0,0,0,0,"0"
39,1,0,1,0,1,0,0,0,1,0,0,0,0,1.9250969541376577,0.30102999566398114,0.30102999566398114,1,0,"1"
37,1,0,0,0,1,0,0,0,1,0,0,0,0,1.9250969541376577,0.30102999566398114,0.30102999566398114,0,0,"0"
64,1,0,1,0,1,0,0,0,1,0,0,0,0,1.9250969541376577,0,0,1,0,"1"
55,1,0,1,1,0,0,0,1,0,0,0,0,0,1.426511261364575,0.47712125471966244,0,1,0,"1"
29.881137667304014,1,0,0,1,0,0,0,0,0,0,0,0,0,1.4401216031878037,0,0,0,0,"0"
70,1,0,0,1,0,0,1,0,0,0,0,0,0,1.8573324964312683,0.30102999566398114,0.30102999566398114,0,0,"0"
36,1,0,1,1,0,0,1,0,0,0,0,0,0,1.8573324964312683,0,0,1,0,"1"
64,1,0,1,1,0,0,1,0,0,0,0,0,0,1.4401216031878037,0.30102999566398114,0.30102999566398114,1,0,"1"
39,1,0,0,0,1,0,0,1,0,0,0,0,0,1.8590379714909275,0.30102999566398114,0,0,0,"0"
38,1,0,1,0,1,0,0,1,0,0,0,0,0,1.8590379714909275,0.30102999566398114,0,1,0,"1"
51,1,0,0,1,0,0,0,0,1,0,0,0,0,1.4401216031878037,0,0,0,0,"1"
27,1,0,0,1,0,0,0,0,0,0,0,0,0,1.4983105537896002,0,0,0,0,"1"
33,1,0,1,1,0,0,0,0,0,0,0,0,0,2.1834122119784256,0,0,1,0,"1"
31,1,0,0,1,0,0,1,0,0,0,0,0,0,1.724275869600789,0.30102999566398114,0,0,0,"0"
27,1,0,1,1,0,0,1,0,0,0,0,0,0,1.724275869600789,0.30102999566398114,0.30102999566398114,1,0,"1"
31,1,0,0,1,0,0,1,0,0,0,0,0,0,1.7634279935629371,0.30102999566398114,0,0,0,"1"
17,1,0,1,1,0,0,1,0,0,0,0,0,0,1.7634279935629371,0.30102999566398114,0,1,0,"1"
53,1,0,0,1,0,0,0,0,0,0,1,0,0,1.918336018653404,0.30102999566398114,0.30102999566398114,0,0,"1"
4,1,0,0,1,0,0,0,0,0,0,1,0,0,1.918336018653404,0,0,0,0,"1"
54,1,0,1,1,0,0,0,0,0,0,1,0,0,1.918336018653404,0.30102999566398114,0.30102999566398114,1,0,"1"
50,1,0,0,0,1,0,0,1,0,0,0,0,0,2.0311053623559405,0.30102999566398114,0,0,0,"0"
27,1,0,1,0,1,0,1,0,0,0,0,0,0,2.3953627429574396,0.30102999566398114,0.30102999566398114,1,0,"1"
48,1,0,1,0,1,0,0,1,0,0,0,0,0,2.0311053623559405,0.30102999566398114,0,1,0,"1"
48,1,0,1,0,1,0,0,0,0,0,1,0,0,1.608526033577194,0.30102999566398114,0,1,0,"1"
49,1,0,0,0,1,0,0,0,0,0,1,0,0,1.762897530950558,0.30102999566398114,0,0,0,"1"
39,1,0,0,0,1,0,0,0,0,0,1,0,0,1.4871383754771863,0,0,0,0,"0"
23,1,0,1,0,1,0,0,1,0,0,0,0,0,1.9250969541376577,0,0,1,0,"1"
38,1,0,1,0,1,0,0,1,0,0,0,0,0,2.3589337176143736,0,0,1,0,"1"
54,1,0,1,0,1,0,0,0,0,1,0,0,0,1.8990907781931157,0.30102999566398114,0,1,0,"1"
36,1,0,1,0,1,0,0,0,0,0,1,0,0,1.5142714162863822,0,0,1,0,"0"
29.881137667304014,1,0,0,1,0,0,0,1,0,0,0,0,0,2.347874640061327,0,0,0,0,"0"
29.881137667304014,1,0,1,1,0,0,0,0,0,0,0,0,0,1.5143259003522656,0,0,1,0,"1"
29.881137667304014,1,0,1,0,1,0,0,0,0,0,0,0,0,2.048765267412167,0,0,1,0,"1"
36,1,0,0,1,0,0,0,0,1,0,0,0,0,1.4375523905687615,0,0,0,0,"1"
30,1,0,0,0,1,0,0,1,0,0,0,0,0,1.458637849025649,0,0,0,0,"0"
24,1,0,1,1,0,0,0,1,0,0,0,0,0,2.421603926869831,0.6020599913279623,0.6020599913279623,1,0,"1"
28,1,0,1,1,0,0,0,1,0,0,0,0,0,2.421603926869831,0.6020599913279623,0.6020599913279623,1,0,"1"
23,1,0,1,1,0,0,0,1,0,0,0,0,0,2.421603926869831,0.6020599913279623,0.6020599913279623,1,0,"1"
19,1,0,0,1,0,0,0,1,0,0,0,0,0,2.421603926869831,0.6020599913279623,0.6020599913279623,0,0,"0"
64,1,0,0,1,0,0,0,1,0,0,0,0,0,2.421603926869831,0.30102999566398114,0.30102999566398114,0,0,"0"
60,1,0,1,1,0,0,0,1,0,0,0,0,0,2.421603926869831,0.30102999566398114,0.30102999566398114,1,0,"1"
30,1,0,1,0,1,0,0,0,1,0,0,0,0,1.762897530950558,0,0,1,0,"1"
29.881137667304014,1,0,0,1,0,0,0,0,0,1,0,0,0,1.4401216031878037,0,0,0,0,"0"
50,1,0,0,1,0,0,0,0,0,0,0,0,0,2.1292063577475293,0.47712125471966244,0,0,0,"1"
43,1,0,0,0,1,0,0,0,0,1,0,0,0,1.458196532741108,0.30102999566398114,0,0,0,"1"
29.881137667304014,1,0,1,1,0,0,0,0,0,0,0,0,0,2.1292063577475293,0.30102999566398114,0,1,0,"1"
22,1,0,1,0,1,0,1,0,0,0,0,0,0,1.7032913781186614,0,0,1,0,"1"
60,1,0,0,0,1,0,1,0,0,0,0,0,0,1.9041743682841634,0.30102999566398114,0.30102999566398114,0,0,"1"
48,1,0,1,0,1,0,1,0,0,0,0,0,0,1.9041743682841634,0.30102999566398114,0.30102999566398114,1,0,"1"
29.881137667304014,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"0"
37,1,0,0,1,0,0,0,1,0,0,0,0,0,1.7331972651065692,0.30102999566398114,0,0,0,"0"
35,1,0,1,1,0,0,0,1,0,0,0,0,0,1.7331972651065692,0.30102999566398114,0,1,0,"1"
47,1,0,0,1,0,0,0,0,1,0,0,0,0,1.5965970956264601,0,0,0,0,"0"
35,1,0,1,0,1,0,0,1,0,0,0,0,0,2.3273589343863303,0,0,1,0,"1"
22,1,0,1,0,1,0,0,0,0,0,0,0,0,1.7810369386211315,0,0,1,0,"1"
45,1,0,1,0,1,0,0,0,0,0,0,0,0,1.7810369386211315,0,0,1,0,"1"
24,1,0,0,0,1,0,1,0,0,0,0,0,0,1.9041743682841634,0,0,0,0,"0"
49,1,0,0,0,1,0,0,1,0,0,0,0,0,1.9547450350890707,0.30102999566398114,0,0,0,"1"
29.881137667304014,1,0,1,0,1,0,0,1,0,0,0,0,0,1.9547450350890707,0.30102999566398114,0,1,0,"1"
71,1,0,0,0,1,0,0,0,0,0,1,0,0,1.552110696302489,0,0,0,0,"0"
53,1,0,0,0,1,0,0,1,0,0,0,0,0,1.469822015978163,0,0,0,0,"1"
19,1,0,1,1,0,0,1,0,0,0,0,0,0,1.4913616938342726,0,0,1,0,"1"
38,1,0,0,1,0,0,0,1,0,0,0,0,0,2.188823059684136,0,0,0,0,"0"
58,1,0,1,1,0,0,0,1,0,0,0,0,0,2.188823059684136,0,0,1,0,"1"
23,1,0,0,0,1,0,0,0,0,1,0,0,0,1.808604563855051,0,0,0,0,"1"
45,1,0,1,0,1,0,0,0,0,1,0,0,0,1.808604563855051,0,0,1,0,"1"
46,1,0,0,0,1,0,1,0,0,0,0,0,0,1.9041743682841634,0,0,0,0,"0"
25,1,0,0,0,1,0,0,0,1,0,0,0,0,1.751600086044402,0.30102999566398114,0,0,0,"1"
25,1,0,1,0,1,0,0,0,1,0,0,0,0,1.751600086044402,0.30102999566398114,0,1,0,"1"
48,1,0,0,0,1,0,0,0,0,1,0,0,0,1.89058419790781,0.30102999566398114,0,0,0,"1"
49,1,0,1,0,1,0,0,0,0,1,0,0,0,1.89058419790781,0.30102999566398114,0,1,0,"1"
29.881137667304014,1,0,0,1,0,0,0,0,0,0,0,0,0,1.6374897295125106,0,0,0,0,"0"
45,1,0,0,1,0,0,0,1,0,0,0,0,0,1.926728200446934,0.30102999566398114,0,0,0,"0"
35,1,0,1,1,0,0,0,1,0,0,0,0,0,1.926728200446934,0.30102999566398114,0,1,0,"1"
40,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"0"
27,1,0,0,0,1,0,0,0,0,1,0,0,0,1.89058419790781,0,0,0,0,"1"
29.881137667304014,1,0,0,1,0,0,0,0,0,1,0,0,0,1.4913616938342726,0,0,0,0,"1"
24,1,0,1,0,1,0,0,1,0,0,0,0,0,1.9250969541376577,0,0,1,0,"1"
55,1,0,0,1,0,0,1,0,0,0,0,0,0,1.9754318085092628,0.30102999566398114,0.30102999566398114,0,0,"0"
52,1,0,1,1,0,0,1,0,0,0,0,0,0,1.9754318085092628,0.30102999566398114,0.30102999566398114,1,0,"1"
42,1,0,0,1,0,0,1,0,0,0,0,0,0,1.6384892569546372,0,0,0,0,"0"
29.881137667304014,1,0,0,1,0,0,0,0,1,0,0,0,0,1.7231476981549567,0,0,0,0,"0"
55,1,0,0,1,0,0,0,1,0,0,0,0,0,1.7075701760979363,0,0,0,0,"0"
16,1,0,1,0,1,0,1,0,0,0,0,0,0,1.7706988774402308,0,0,1,0,"1"
44,1,0,1,0,1,0,1,0,0,0,0,0,0,1.7706988774402308,0,0,1,0,"1"
51,1,0,1,1,0,0,0,0,0,1,0,0,0,1.8973977892491292,0.30102999566398114,0,1,0,"1"
42,1,0,0,1,0,0,0,0,0,0,0,0,0,1.724275869600789,0.30102999566398114,0,0,0,"0"
35,1,0,1,1,0,0,0,0,0,0,0,0,0,1.724275869600789,0.30102999566398114,0,1,0,"1"
35,1,0,0,0,1,0,0,0,0,0,0,0,0,1.4401216031878037,0,0,0,0,"1"
38,1,0,0,1,0,0,0,1,0,0,0,0,0,1.9590413923210932,0.30102999566398114,0,0,0,"1"
29.881137667304014,1,0,0,0,1,0,0,0,0,0,0,0,0,1.5010017178117603,0,0,0,0,"0"
35,1,0,1,1,0,0,0,1,0,0,0,0,0,1.9590413923210932,0.30102999566398114,0,1,0,"1"
38,1,0,1,0,0,0,1,0,0,0,0,0,0,1.9084850188786497,0,0,1,0,"1"
50,1,0,1,0,1,0,0,1,0,0,0,0,0,1.4729391947362365,0,0,1,0,"0"
49,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"1"
46,1,0,0,1,0,0,0,0,0,0,0,0,0,1.4313637641589871,0,0,0,0,"0"
50,1,0,0,1,0,0,0,0,1,0,0,0,0,1.4313637641589871,0,0,0,0,"0"
32.5,1,0,0,0,1,0,0,1,0,0,0,0,0,2.3273589343863303,0,0,0,0,"0"
58,1,0,0,0,1,0,1,0,0,0,0,0,0,1.4871383754771863,0,0,0,0,"0"
41,1,0,0,1,0,0,0,0,0,1,0,0,0,1.7231476981549567,0.30102999566398114,0,0,0,"0"
29.881137667304014,1,0,1,1,0,0,0,0,0,1,0,0,0,1.7231476981549567,0.30102999566398114,0,1,0,"1"
42,1,0,0,1,0,0,0,0,0,1,0,0,0,1.7287935361444733,0.30102999566398114,0,0,0,"1"
45,1,0,1,1,0,0,0,0,0,1,0,0,0,1.7287935361444733,0.30102999566398114,0,1,0,"1"
29.881137667304014,1,0,0,1,0,0,0,1,0,0,0,0,0,1.4401216031878037,0,0,0,0,"0"
39,1,0,1,1,0,0,0,0,0,0,0,0,0,2.3270266997942755,0,0,1,0,"1"
49,1,0,1,1,0,0,0,0,0,1,0,0,0,1.4302234517870693,0,0,1,0,"1"
30,1,0,1,0,1,0,0,0,0,0,0,0,0,2.0311053623559405,0,0,1,0,"1"
35,1,0,0,0,1,0,1,0,0,0,0,0,0,2.7103959691861146,0,0,0,0,"1"
29.881137667304014,1,0,0,0,1,0,0,0,0,0,0,0,0,1.458196532741108,0,0,0,0,"0"
42,1,0,0,1,0,0,0,0,0,0,0,0,0,1.4401216031878037,0,0,0,0,"0"
55,1,0,1,0,1,0,0,0,0,0,0,0,0,1.458196532741108,0,0,1,0,"1"
16,1,0,1,1,0,0,0,0,0,1,0,0,0,1.606381365110605,0,0,1,0,"1"
51,1,0,1,1,0,0,0,0,0,1,0,0,0,1.606381365110605,0,0,1,0,"1"
29,1,0,0,1,0,0,0,0,0,1,0,0,0,1.4913616938342726,0,0,0,0,"0"
21,1,0,1,1,0,0,0,0,0,1,0,0,0,1.8973977892491292,0,0,1,0,"1"
30,1,0,0,1,0,0,0,0,0,0,0,0,0,1.6674529528899538,0,0,0,0,"0"
58,1,0,1,0,1,0,1,0,0,0,0,0,0,2.168853258879317,0,0,1,0,"1"
15,1,0,1,1,0,0,1,0,0,0,0,0,0,2.3270266997942755,0,0,1,0,"1"
30,1,0,0,1,0,0,0,1,0,0,0,0,0,1.4313637641589871,0,0,0,0,"0"
16,1,0,1,1,0,0,1,0,0,0,0,0,0,1.9420080530223132,0,0,1,0,"1"
29.881137667304014,1,0,0,0,1,0,0,1,0,0,0,0,0,1.4871383754771863,0,0,0,0,"1"
19,1,0,0,1,0,0,0,0,0,1,0,0,0,1.7331972651065692,0.30102999566398114,0,0,0,"0"
18,1,0,1,1,0,0,0,0,0,1,0,0,0,1.7331972651065692,0.30102999566398114,0,1,0,"1"
24,1,0,1,0,1,0,0,1,0,0,0,0,0,1.7033274961578129,0,0,1,0,"1"
46,1,0,0,0,1,0,0,1,0,0,0,0,0,1.8821925714233974,0,0,0,0,"0"
54,1,0,0,1,0,0,0,0,1,0,0,0,0,1.7231476981549567,0,0,0,0,"0"
36,1,0,0,1,0,0,0,0,1,0,0,0,0,1.4359637487171955,0,0,0,0,"1"
28,1,0,0,0,1,0,0,0,0,0,0,0,0,1.9199708788780552,0.30102999566398114,0,0,0,"0"
29.881137667304014,1,0,1,0,1,0,0,0,0,0,0,0,0,1.9199708788780552,0.30102999566398114,0,1,0,"1"
65,1,0,0,1,0,0,0,0,1,0,0,0,0,1.4401216031878037,0,0,0,0,"0"
44,1,0,0,0,0,1,0,1,0,0,0,0,0,1.9590413923210932,0.47712125471966244,0,0,0,"0"
33,1,0,1,0,0,1,0,1,0,0,0,0,0,1.9590413923210932,0.30102999566398114,0,1,0,"1"
37,1,0,1,0,0,1,0,1,0,0,0,0,0,1.9590413923210932,0.30102999566398114,0,1,0,"1"
30,1,0,0,0,1,0,0,1,0,0,0,0,0,1.7690078709437735,0.30102999566398114,0,0,0,"1"
55,1,0,0,1,0,0,0,1,0,0,0,0,0,1.4983105537896002,0,0,0,0,"0"
47,1,0,0,1,0,0,0,0,0,0,0,0,0,1.6374897295125106,0,0,0,0,"0"
37,1,0,0,0,1,0,0,1,0,0,0,0,0,1.4871383754771863,0,0,0,0,"0"
31,1,0,1,0,1,0,0,0,0,1,0,0,0,2.0579512299613683,0.30102999566398114,0,1,0,"1"
23,1,0,1,0,1,0,0,0,0,1,0,0,0,2.0579512299613683,0.30102999566398114,0,1,0,"1"
58,1,0,0,0,1,0,0,0,0,1,0,0,0,2.0579512299613683,0,0,0,0,"0"
19,1,0,1,1,0,0,0,0,0,1,0,0,0,1.4358968984299503,0,0,1,0,"1"
